iso_o,iso_d,tariff
FRA,THA,0.129999995
FRA,TUR,0
FRA,TWN,0.050000001
FRA,USA,0.02
GBR,ARG,0.119999997
GBR,AUS,0.029999999
GBR,AUT,0
GBR,BEL,0
GBR,BRA,0.109999999
GBR,CAN,0.02
GBR,CHE,0.01
GBR,CHL,0.01
GBR,CHN,0.050000001
GBR,DEU,0
GBR,DNK,0
GBR,ESP,0
GBR,FIN,0
GBR,FRA,0
GBR,GBR,0
GBR,GRC,0
GBR,HUN,0
GBR,IDN,0.059999999
GBR,IND,0.170000002
GBR,IRL,0
GBR,ITA,0
GBR,JPN,0.02
GBR,KOR,0.07
GBR,MEX,0.059999999
GBR,MYS,0.109999999
GBR,NOR,0.01
GBR,NZL,0.050000001
GBR,PHL,0.039999999
GBR,POL,0
GBR,PRT,0
GBR,SGP,0
GBR,SWE,0
GBR,THA,0.150000006
GBR,TUR,0
GBR,TWN,0.039999999
GBR,USA,0.02
GRC,ARG,0.100000001
GRC,AUS,0.050000001
GRC,AUT,0
GRC,BEL,0
GRC,BRA,0.059999999
GRC,CAN,0.079999998
GRC,CHE,0.02
GRC,CHL,0.01
GRC,CHN,0.100000001
GRC,DEU,0
GRC,DNK,0
GRC,ESP,0
GRC,FIN,0
GRC,FRA,0
GRC,GBR,0
GRC,GRC,0
GRC,HUN,0
GRC,IDN,0.050000001
GRC,IND,0.140000001
GRC,IRL,0
GRC,ITA,0
GRC,JPN,0.07
GRC,KOR,0.07
GRC,MEX,0.059999999
GRC,MYS,0.07
GRC,NOR,0.02
GRC,NZL,0.050000001
GRC,PHL,0.07
GRC,POL,0
GRC,PRT,0
GRC,SGP,0
GRC,SWE,0
GRC,THA,0.200000003
GRC,TUR,0.01
GRC,TWN,0.059999999
GRC,USA,0.039999999
HUN,ARG,0.109999999
HUN,AUS,0.039999999
HUN,AUT,0
HUN,BEL,0
HUN,BRA,0.129999995
HUN,CAN,0.039999999
HUN,CHE,0.230000004
HUN,CHL,0
HUN,CHN,0.090000004
HUN,DEU,0
HUN,DNK,0
HUN,ESP,0
HUN,FIN,0
HUN,FRA,0
HUN,GBR,0
HUN,GRC,0
HUN,HUN,0
HUN,IDN,0.050000001
HUN,IND,0.129999995
HUN,IRL,0
HUN,ITA,0
HUN,JPN,0.090000004
HUN,KOR,0.079999998
HUN,MEX,0.039999999
HUN,MYS,0.07
HUN,NOR,0.01
HUN,NZL,0.029999999
HUN,PHL,0.02
HUN,POL,0
HUN,PRT,0
HUN,SGP,0
HUN,SWE,0
HUN,THA,0.100000001
HUN,TUR,0
HUN,TWN,0.039999999
HUN,USA,0.02
IDN,ARG,0.119999997
IDN,AUS,0.029999999
IDN,AUT,0.050000001
IDN,BEL,0.039999999
IDN,BRA,0.129999995
IDN,CAN,0.039999999
IDN,CHE,0.029999999
IDN,CHL,0.059999999
IDN,CHN,0.059999999
IDN,DEU,0.039999999
IDN,DNK,0.039999999
IDN,ESP,0.050000001
IDN,FIN,0.039999999
IDN,FRA,0.039999999
IDN,GBR,0.050000001
IDN,GRC,0.029999999
IDN,HUN,0.01
IDN,IDN,0
IDN,IND,0.699999988
IDN,IRL,0.039999999
IDN,ITA,0.039999999
IDN,JPN,0.02
IDN,KOR,0.050000001
IDN,MEX,0.170000002
IDN,MYS,0.059999999
IDN,NOR,0.029999999
IDN,NZL,0.029999999
IDN,PHL,0.02
IDN,POL,0.029999999
IDN,PRT,0.029999999
IDN,SGP,0
IDN,SWE,0.050000001
IDN,THA,0.059999999
IDN,TUR,0.050000001
IDN,TWN,0.050000001
IDN,USA,0.039999999
IND,ARG,0.100000001
IND,AUS,0.050000001
IND,AUT,0.039999999
IND,BEL,0.029999999
IND,BRA,0.07
IND,CAN,0.079999998
IND,CHE,0.02
IND,CHL,0.059999999
IND,CHN,0.050000001
IND,DEU,0.039999999
IND,DNK,0.059999999
IND,ESP,0.039999999
IND,FIN,0.039999999
IND,FRA,0.050000001
IND,GBR,0.039999999
IND,GRC,0.02
IND,HUN,0.039999999
IND,IDN,0.029999999
IND,IND,0
IND,IRL,0.039999999
IND,ITA,0.029999999
IND,JPN,0.02
IND,KOR,0.059999999
IND,MEX,0.170000002
IND,MYS,0.059999999
IND,NOR,0.029999999
IND,NZL,0.039999999
IND,PHL,0.059999999
IND,POL,0.039999999
IND,PRT,0.039999999
IND,SGP,0
IND,SWE,0.050000001
IND,THA,0.079999998
IND,TUR,0.050000001
IND,TWN,0.050000001
IND,USA,0.029999999
IRL,ARG,0.100000001
IRL,AUS,0.01
IRL,AUT,0
IRL,BEL,0
IRL,BRA,0.090000004
IRL,CAN,0.039999999
IRL,CHE,0
IRL,CHL,0.01
IRL,CHN,0.01
IRL,DEU,0
IRL,DNK,0
IRL,ESP,0
IRL,FIN,0
IRL,FRA,0
IRL,GBR,0
IRL,GRC,0
IRL,HUN,0
IRL,IDN,0.170000002
IRL,IND,0.100000001
IRL,IRL,0
IRL,ITA,0
IRL,JPN,0.01
IRL,KOR,0.029999999
IRL,MEX,0.039999999
IRL,MYS,0.01
IRL,NOR,0
IRL,NZL,0.059999999
IRL,PHL,0.01
IRL,POL,0
IRL,PRT,0
IRL,SGP,0
IRL,SWE,0
IRL,THA,0.090000004
IRL,TUR,0.01
IRL,TWN,0.02
IRL,USA,0.01
ITA,ARG,0.100000001
ITA,AUS,0.039999999
ITA,AUT,0
ITA,BEL,0
ITA,BRA,0.129999995
ITA,CAN,0.050000001
ITA,CHE,0.02
ITA,CHL,0
ITA,CHN,0.07
ITA,DEU,0
ITA,DNK,0
ITA,ESP,0
ITA,FIN,0
ITA,FRA,0
ITA,GBR,0
ITA,GRC,0
ITA,HUN,0
ITA,IDN,0.050000001
ITA,IND,0.150000006
ITA,IRL,0
ITA,ITA,0
ITA,JPN,0.07
ITA,KOR,0.079999998
ITA,MEX,0.039999999
ITA,MYS,0.079999998
ITA,NOR,0.02
ITA,NZL,0.050000001
ITA,PHL,0.039999999
ITA,POL,0
ITA,PRT,0
ITA,SGP,0
ITA,SWE,0
ITA,THA,0.129999995
ITA,TUR,0
ITA,TWN,0.059999999
ITA,USA,0.039999999
JPN,ARG,0.109999999
JPN,AUS,0.059999999
JPN,AUT,0.050000001
JPN,BEL,0.029999999
JPN,BRA,0.119999997
JPN,CAN,0.029999999
JPN,CHE,0.01
JPN,CHL,0.059999999
JPN,CHN,0.07
