iso_o,iso_d,xtr2001
DNK,IDN,68.032604
DNK,IND,141.116768
DNK,IRL,630.476434
DNK,ITA,1008.29966
DNK,JPN,959.389229
DNK,KOR,286.52452
DNK,MEX,152.779576
DNK,MYS,92.429634
DNK,NOR,2424.605843
DNK,NZL,57.833949
DNK,PHL,49.910222
DNK,POL,772.572699
DNK,PRT,135.840654
DNK,SGP,174.347008
DNK,SWE,4383.656859
DNK,THA,196.19368
DNK,TUR,190.85881
DNK,TWN,129.071228
DNK,USA,2990.155953
ESP,ARG,697.376209
ESP,AUS,362.253778
ESP,AUT,931.712755
ESP,BEL,2944.958294
ESP,BRA,1141.818143
ESP,CAN,471.466512
ESP,CHE,1311.782736
ESP,CHL,466.130032
ESP,CHN,640.626844
ESP,DEU,11755.80895
ESP,DNK,662.779133
ESP,ESP,261831.1875
ESP,FIN,507.867096
ESP,FRA,19977.70323
ESP,GBR,9268.400772
ESP,GRC,1144.955671
ESP,HUN,597.419696
ESP,IDN,183.833643
ESP,IND,184.216193
ESP,IRL,676.330357
ESP,ITA,8742.482977
ESP,JPN,1039.971403
ESP,KOR,308.320997
ESP,MEX,1943.509073
ESP,MYS,153.762013
ESP,NOR,413.993513
ESP,NZL,66.849914
ESP,PHL,113.271108
ESP,POL,1044.116643
ESP,PRT,10064.65146
ESP,SGP,374.310454
ESP,SWE,1043.15803
ESP,THA,192.127811
ESP,TUR,1014.572044
ESP,TWN,263.3496094
ESP,USA,4723.25676
FIN,ARG,80.688781
FIN,AUS,376.754601
FIN,AUT,706.133269
FIN,BEL,1026.701317
FIN,BRA,405.016465
FIN,CAN,384.439704
FIN,CHE,682.055419
FIN,CHL,86.06059
FIN,CHN,2368.096083
FIN,DEU,5330.06199
FIN,DNK,1064.859584
FIN,ESP,1123.319339
FIN,FIN,62700.9375
FIN,FRA,2155.928829
FIN,GBR,3953.525801
FIN,GRC,310.325116
FIN,HUN,355.208455
FIN,IDN,91.501663
FIN,IND,206.732876
FIN,IRL,464.380103
FIN,ITA,1571.523182
FIN,JPN,851.399863
FIN,KOR,378.09957
FIN,MEX,246.618014
FIN,MYS,147.108617
FIN,NOR,1102.075824
FIN,NZL,80.047165
FIN,PHL,364.872028
FIN,POL,832.248486
FIN,PRT,240.704984
FIN,SGP,258.945213
FIN,SWE,3029.589706
FIN,THA,404.225149
FIN,TUR,301.55228
FIN,TWN,375.6368103
FIN,USA,3908.25559
FRA,ARG,719.635121
FRA,AUS,1327.926491
FRA,AUT,2756.131831
FRA,BEL,21497.3968
FRA,BRA,2361.909177
FRA,CAN,3439.572182
FRA,CHE,7783.722249
FRA,CHL,935.607048
FRA,CHN,3984.59491
FRA,DEU,38780.75157
FRA,DNK,2320.03382
FRA,ESP,25358.28808
FRA,FIN,1534.881898
FRA,FRA,571060.375
FRA,GBR,25550.8763
